seed,model,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,tp,fp,fn,tn,train_time_ms,infer_time_ms
42,Multinomial Naive Bayes,0.9721973094170404,0.9836065573770492,0.8053691275167785,0.8856088560885609,0.9348922279421875,0.971003900412513,120,2,29,964,1.6577999999753956,0.22530000023834873
42,Logistic Regression,0.9721973094170404,1.0,0.7919463087248322,0.8838951310861424,0.9340514881105699,0.9708028277419217,118,0,31,966,11.151900000186288,0.24040000016611884
42,Linear SVM,0.9838565022421525,0.9781021897810219,0.8993288590604027,0.9370629370629371,0.9639018389018389,0.9835676530743797,134,3,15,963,5.013599999983853,0.3210999998373154
101,Multinomial Naive Bayes,0.97847533632287,1.0,0.8389261744966443,0.9124087591240876,0.9500694102368904,0.9776647034738051,125,0,24,966,1.4116000002104556,0.19890000021405285
101,Logistic Regression,0.9632286995515695,0.9736842105263158,0.7449664429530202,0.844106463878327,0.9116312695599058,0.9611090868171702,111,3,38,963,11.070099999869853,0.24920000032579992
101,Linear SVM,0.9811659192825112,0.9705882352941176,0.8859060402684564,0.9263157894736842,0.9577594371532945,0.9807993117310897,132,4,17,962,4.624599999715429,0.23830000009184005
2024,Multinomial Naive Bayes,0.9766816143497757,1.0,0.825503355704698,0.9044117647058824,0.9455664543651986,0.9757219534249845,123,0,26,966,1.3936000000285276,0.20029999996040715
2024,Logistic Regression,0.9775784753363229,0.9920634920634921,0.8389261744966443,0.9090909090909091,0.9481515926528714,0.9767727392628474,125,1,24,965,11.657999999897584,0.2650000001267472
2024,Linear SVM,0.9874439461883409,1.0,0.9060402684563759,0.9507042253521126,0.971754990373898,0.9871796316499506,135,0,14,966,4.606999999850814,0.2455999997437175
