Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Macro_F1_Mean,Macro_F1_Std,TP_Mean,FP_Mean,FN_Mean,TN_Mean
Multinomial Naive Bayes,97.57847533632287,0.32336782739587105,99.45355191256832,0.9464758511305351,82.32662192393735,1.6890009922305962,90.0809793306177,1.3758246587106595,94.35093641814255,0.7794897729912329,122.66666666666667,0.6666666666666666,26.333333333333332,965.3333333333334
Logistic Regression,97.10014947683109,0.7249241048120872,98.8582567529936,1.3498808118202565,79.19463087248323,4.697986577181207,87.9030834685126,3.2764165860044026,93.12781167744491,1.8417442578427163,118.0,1.3333333333333333,31.0,964.6666666666666
Linear SVM,98.41554559043347,0.3149672272900711,98.28968083583798,1.528084589462593,89.70917225950784,1.025184719229493,93.8027650629578,1.2222804725115242,96.44720888096771,0.7015181124228269,133.66666666666666,2.3333333333333335,15.333333333333334,963.6666666666666
